 | Zurück | [811,110][926,226]
‹ |  | [849,112][878,217]
Einstellungen |  | [0,132][811,203]
ANWENDUNG |  | [63,242][916,267]
 | Design: Dunkel | [56,291][914,464]
Design |  | [93,323][879,380]
Dunkel |  | [93,385][879,433]
 | Sprache | [56,465][914,638]
Sprache |  | [93,497][830,554]
Deutsch |  | [93,559][830,607]
› |  | [860,522][877,580]
 | Info | [56,639][914,776]
Info |  | [93,679][830,736]
› |  | [860,678][877,736]
 | App-Version: 1.0.0 | [56,777][914,950]
App-Version |  | [93,809][879,866]
1.0.0 |  | [93,871][879,919]
UNTERSTÜTZUNG |  | [63,1005][916,1048]
 | Hilfe | [56,1072][914,1208]
Hilfe |  | [93,1112][830,1169]
› |  | [860,1111][877,1169]
 | Kontakt | [56,1209][914,1346]
Kontakt |  | [93,1249][830,1306]
› |  | [860,1248][877,1306]
 | Datenschutzrichtlinie | [56,1347][914,1483]
Datenschutzrichtlinie |  | [93,1387][830,1444]
› |  | [860,1386][877,1444]
 | Nutzungsbedingungen | [56,1484][914,1621]
Nutzungsbedingungen |  | [93,1524][830,1581]
› |  | [860,1523][877,1581]
ENTWICKLER |  | [63,1676][916,1719]
 | App-Version: 1.0.0 | [56,1743][914,1916]
App-Version |  | [93,1775][879,1832]
1.0.0 |  | [93,1837][879,1885]
 | Build-Version: 10 | [56,1917][914,2090]
Build-Version |  | [93,1949][879,2006]
10 |  | [93,2011][879,2059]
