 | @playreview. V10_FOLD6_QA_safe_navy_test_clip_20260817. Sound on. Volume 100%. Auto-next on. Paused | [0,0][968,2121]
 | Play video | [0,0][968,2121]
 | Auto-next | [507,232][762,347]
Auto-next on |  | [541,268][728,311]
 | Mute video | [783,232][926,347]
Mute |  | [817,268][892,311]
Volume 100% |  | [317,379][790,426]
 | In-app volume | [317,447][790,583]
 | Profile @playreview | [42,1704][678,1768]
@playreview |  | [42,1704][678,1758]
V10_FOLD6_QA_safe_navy_test_clip_20260817 |  | [42,1768][678,1874]
0:00 |  | [42,1785][107,1828]
0:03 |  | [861,1785][926,1828]
 | Seek timeline | [42,1838][926,1964]
 | Like | [821,974][937,1122]
♥ |  | [835,974][922,1074]
0 |  | [869,1079][887,1122]
 | Save | [821,1143][937,1294]
★ |  | [845,1143][911,1245]
0 |  | [869,1250][887,1293]
 | Comments, coming soon | [821,1315][937,1490]
◌ |  | [856,1315][901,1442]
0 |  | [869,1447][887,1490]
 | Share, coming soon | [821,1511][937,1661]
↗ |  | [850,1511][906,1613]
0 |  | [869,1618][887,1661]
 | Delete your video | [821,1682][937,1832]
⌫ |  | [838,1682][919,1784]
Delete |  | [833,1789][923,1832]
 | Back | [21,95][137,211]
‹ |  | [59,97][88,202]
Watch |  | [136,120][284,185]
 | Wallet 25 UM, tier Spark. Open rewards. | [529,95][832,211]
25 UM |  | [563,129][666,176]
· |  | [681,129][690,176]
Spark |  | [706,129][797,176]
 | Open profile | [863,111][947,195]
U |  | [893,129][917,176]
 | ▶, Watch | [0,2122][161,2250]
▶ |  | [66,2151][95,2191]
Watch |  | [42,2208][118,2245]
 | ◎, Discover | [161,2122][323,2250]
◎ |  | [232,2151][250,2191]
Discover |  | [188,2208][294,2245]
 | ＋, Create | [323,2122][484,2250]
＋ |  | [389,2150][417,2193]
Create |  | [363,2208][443,2245]
 | ◉, Live | [484,2122][645,2250]
◉ |  | [555,2151][573,2191]
Live |  | [539,2208][589,2245]
 | ✉, Messages | [645,2122][807,2250]
✉ |  | [715,2151][736,2191]
Messages |  | [663,2208][788,2245]
 | ☺, Profile | [807,2122][968,2250]
☺ |  | [870,2152][904,2191]
Profile |  | [847,2208][927,2245]
