	Back	[811,110][926,226]
‹		[849,112][878,217]
Settings		[0,132][811,203]
APP		[63,242][916,267]
	Theme: Dark	[56,291][914,464]
Theme		[93,323][879,380]
Dark		[93,385][879,433]
	Language	[56,465][914,638]
Language		[93,497][830,554]
English		[93,559][830,607]
›		[860,522][877,580]
	About	[56,639][914,776]
About		[93,679][830,736]
›		[860,678][877,736]
	App version: 1.0.0	[56,777][914,950]
App version		[93,809][879,866]
1.0.0		[93,871][879,919]
SUPPORT		[63,1005][916,1048]
	Help	[56,1072][914,1208]
Help		[93,1112][830,1169]
›		[860,1111][877,1169]
	Contact	[56,1209][914,1346]
Contact		[93,1249][830,1306]
›		[860,1248][877,1306]
	Privacy Policy	[56,1347][914,1483]
Privacy Policy		[93,1387][830,1444]
›		[860,1386][877,1444]
	Terms	[56,1484][914,1621]
Terms		[93,1524][830,1581]
›		[860,1523][877,1581]
DEVELOPER		[63,1676][916,1719]
	App version: 1.0.0	[56,1743][914,1916]
App version		[93,1775][879,1832]
1.0.0		[93,1837][879,1885]
	Build version: 10	[56,1917][914,2090]
Build version		[93,1949][879,2006]
10		[93,2011][879,2059]
