 | رجوع | [811,110][926,226]
› |  | [859,112][888,217]
الإعدادات |  | [0,122][811,213]
الحساب والخصوصية وتفضيلات التطبيق. |  | [52,263][915,316]
الحساب |  | [53,363][906,417]
 | تعديل الملف | [56,441][914,629]
تعديل الملف |  | [93,473][879,545]
غير متاح بعد |  | [93,550][879,598]
 | تغيير كلمة المرور | [56,630][914,767]
تغيير كلمة المرور |  | [141,662][878,734]
‹ |  | [92,669][109,727]
 | تسجيل الخروج | [56,767][914,903]
تسجيل الخروج |  | [141,799][878,871]
‹ |  | [92,806][109,864]
 | حذف الحساب | [56,905][914,1042]
حذف الحساب |  | [141,937][878,1009]
‹ |  | [92,944][109,1002]
الخصوصية |  | [53,1097][906,1151]
 | إعدادات الخصوصية | [56,1175][914,1364]
إعدادات الخصوصية |  | [93,1207][879,1279]
غير متاح بعد |  | [93,1284][879,1332]
 | صندوق الإشعارات | [56,1364][914,1500]
صندوق الإشعارات |  | [141,1396][878,1468]
‹ |  | [92,1403][109,1461]
 | إعدادات إشعارات النظام | [56,1501][914,1638]
إعدادات إشعارات النظام |  | [141,1533][878,1605]
‹ |  | [92,1540][109,1598]
 | الحسابات المحظورة | [56,1639][914,1775]
الحسابات المحظورة |  | [141,1671][878,1743]
‹ |  | [92,1678][109,1736]
التطبيق |  | [53,1830][906,1884]
 | المظهر: داكن | [56,1908][914,2096]
المظهر |  | [93,1940][879,2012]
داكن |  | [93,2017][879,2065]
 | اللغة | [56,2097][914,2250]
اللغة |  | [141,2129][878,2201]
العربية |  | [141,2206][878,2250]
‹ |  | [92,2162][109,2220]
 | حول | [56,2286][914,2250]
حول |  | [141,2318][878,2250]
‹ |  | [92,2325][109,2250]
