 | رجوع | [811,110][926,226]
› |  | [859,112][888,217]
الإعدادات |  | [0,122][811,213]
 | المظهر: داكن | [56,242][914,382]
المظهر |  | [93,242][879,298]
داكن |  | [93,303][879,351]
 | اللغة | [56,383][914,571]
اللغة |  | [141,415][878,487]
العربية |  | [141,492][878,540]
‹ |  | [92,448][109,506]
 | حول | [56,572][914,709]
حول |  | [141,604][878,676]
‹ |  | [92,611][109,669]
 | إصدار التطبيق: 1.0.0 | [56,710][914,898]
إصدار التطبيق |  | [93,742][879,814]
1.0.0 |  | [93,819][879,867]
الدعم |  | [53,953][906,1007]
 | المساعدة | [56,1031][914,1167]
المساعدة |  | [141,1063][878,1135]
‹ |  | [92,1070][109,1128]
 | تواصل معنا | [56,1168][914,1305]
تواصل معنا |  | [141,1200][878,1272]
‹ |  | [92,1207][109,1265]
 | سياسة الخصوصية | [56,1306][914,1442]
سياسة الخصوصية |  | [141,1338][878,1410]
‹ |  | [92,1345][109,1403]
 | الشروط | [56,1443][914,1580]
الشروط |  | [141,1475][878,1547]
‹ |  | [92,1482][109,1540]
المطوّر |  | [53,1635][906,1689]
 | إصدار التطبيق: 1.0.0 | [56,1713][914,1901]
إصدار التطبيق |  | [93,1745][879,1817]
1.0.0 |  | [93,1822][879,1870]
 | إصدار البناء: 10 | [56,1902][914,2090]
إصدار البناء |  | [93,1934][879,2006]
10 |  | [93,2011][879,2059]
