 | Zurück | [811,110][926,226]
‹ |  | [859,112][888,217]
Einstellungen |  | [0,132][811,203]
 | Design: Dunkel | [56,242][914,304]
Dunkel |  | [93,242][879,273]
 | Sprache | [56,305][914,478]
Sprache |  | [93,337][830,394]
Deutsch |  | [93,399][830,447]
› |  | [860,362][877,420]
 | Info | [56,479][914,616]
Info |  | [93,519][830,576]
› |  | [860,518][877,576]
 | App-Version: 1.0.0 | [56,617][914,790]
App-Version |  | [93,649][879,706]
1.0.0 |  | [93,711][879,759]
UNTERSTÜTZUNG |  | [63,845][916,888]
 | Hilfe | [56,912][914,1048]
Hilfe |  | [93,952][830,1009]
› |  | [860,951][877,1009]
 | Kontakt | [56,1049][914,1186]
Kontakt |  | [93,1089][830,1146]
› |  | [860,1088][877,1146]
 | Datenschutzrichtlinie | [56,1187][914,1323]
Datenschutzrichtlinie |  | [93,1227][830,1284]
› |  | [860,1226][877,1284]
 | Nutzungsbedingungen | [56,1324][914,1461]
Nutzungsbedingungen |  | [93,1364][830,1421]
› |  | [860,1363][877,1421]
ENTWICKLER |  | [63,1516][916,1559]
 | App-Version: 1.0.0 | [56,1583][914,1756]
App-Version |  | [93,1615][879,1672]
1.0.0 |  | [93,1677][879,1725]
 | Build-Version: 10 | [56,1757][914,1930]
Build-Version |  | [93,1789][879,1846]
10 |  | [93,1851][879,1899]
