 | Atrás | [0,121][116,237]
‹ |  | [38,123][67,228]
Perfil |  | [126,143][252,214]
 | Cartera 0 UM, nivel Spark. Abrir recompensas. | [654,121][937,237]
0 UM |  | [688,155][771,202]
· |  | [786,155][795,202]
Spark |  | [811,155][902,202]
 | Avatar de UMTUBA Play Reviewer | [63,305][273,515]
U |  | [141,357][194,463]
UMTUBA Play Reviewer |  | [63,557][905,635]
@playreview |  | [63,645][905,696]
google-play-review@umtuba.com | Correo google-play-review@umtuba.com | [63,722][905,769]
ACCESOS |  | [63,843][905,886]
 | Abrir recompensas | [63,913][905,1049]
Recompensas |  | [102,952][369,1009]
› |  | [848,952][865,1010]
 | Abrir notificaciones | [63,1076][905,1212]
Notificaciones |  | [102,1115][375,1172]
› |  | [848,1115][865,1173]
 | Abrir ajustes | [63,1239][905,1375]
Ajustes |  | [102,1278][245,1335]
› |  | [848,1278][865,1336]
 | ▶, Ver | [0,2122][161,2250]
▶ |  | [66,2151][95,2191]
Ver |  | [59,2208][101,2245]
 | ◎, Descubrir | [161,2122][323,2250]
◎ |  | [232,2151][250,2191]
Descubrir |  | [183,2208][300,2245]
 | ＋, Crear | [323,2122][484,2250]
＋ |  | [389,2150][417,2193]
Crear |  | [370,2208][436,2245]
 | ◉, En vivo | [484,2122][645,2250]
◉ |  | [555,2151][573,2191]
En vivo |  | [521,2208][608,2245]
 | ✉, Mensajes | [645,2122][807,2250]
✉ |  | [715,2151][736,2191]
Mensajes |  | [667,2208][784,2245]
 | ☺, Perfil | [807,2122][968,2250]
☺ |  | [870,2152][904,2191]
Perfil |  | [855,2208][920,2245]
