 | @eman. فرحا بشئ ما _محمود درويش. الصوت قيد التشغيل. مستوى الصوت 100٪. التشغيل التلقائي التالي مفعّل. يُعرض الآن | [0,0][968,2121]
 | إيقاف الفيديو مؤقتًا | [0,0][968,2121]
 | التالي تلقائيًا | [175,232][581,347]
التشغيل التلقائي التالي مفعّل |  | [209,262][546,316]
 | كتم الفيديو | [42,232][154,347]
كتم |  | [76,262][120,316]
مستوى الصوت 100٪ |  | [179,379][651,438]
 | مستوى صوت التطبيق | [179,459][651,595]
 | ملف @eman | [290,1757][926,1821]
@eman |  | [290,1757][926,1811]
فرحا بشئ ما _محمود درويش |  | [290,1821][926,1874]
0:59 |  | [861,1785][926,1828]
2:00 |  | [42,1785][107,1828]
 | شريط التقدم | [42,1838][926,1964]
 | إعجاب | [32,781][147,929]
♥ |  | [46,781][133,881]
1 |  | [80,886][98,929]
 | حفظ | [32,950][147,1100]
★ |  | [56,950][122,1052]
1 |  | [80,1057][98,1100]
 | التعليقات قريبًا | [32,1122][147,1298]
◌ |  | [67,1122][112,1249]
1 |  | [80,1254][98,1297]
 | المشاركة قريبًا | [32,1318][147,1468]
↗ |  | [61,1318][117,1420]
0 |  | [80,1425][98,1468]
 | الإبلاغ عن هذا الفيديو | [32,1489][147,1650]
⚑ |  | [61,1489][117,1591]
إبلاغ |  | [61,1596][117,1650]
 | حظر هذا الحساب | [32,1671][147,1832]
⊘ |  | [60,1671][119,1773]
حظر |  | [63,1778][115,1832]
 | رجوع | [832,95][947,211]
› |  | [880,97][909,202]
شاهد |  | [736,112][832,193]
 | المحفظة 25 UM، المستوى Spark. افتح المكافآت. | [137,95][439,211]
25 UM |  | [302,129][405,176]
· |  | [277,129][286,176]
Spark |  | [171,129][262,176]
 | فتح الملف | [21,111][105,195]
U |  | [51,129][75,176]
 | ▶, شاهد | [807,2122][968,2250]
▶ |  | [873,2151][902,2191]
شاهد |  | [860,2208][914,2250]
 | ◎, اكتشف | [645,2122][807,2250]
◎ |  | [716,2151][734,2191]
اكتشف |  | [690,2208][761,2250]
 | ＋, إنشاء | [484,2122][645,2250]
＋ |  | [550,2150][578,2193]
إنشاء |  | [537,2208][592,2250]
 | ◉, مباشر | [323,2122][484,2250]
◉ |  | [394,2151][412,2191]
مباشر |  | [374,2208][432,2250]
 | ✉, الرسائل | [161,2122][323,2250]
✉ |  | [231,2151][252,2191]
الرسائل |  | [203,2208][279,2250]
 | ☺, الملف | [0,2122][161,2250]
☺ |  | [63,2152][97,2191]
الملف |  | [53,2208][107,2250]
